Sample	aligned	error_rate
Batch6_Ctrl.CBF04_S4	99.56026304	0.25
Batch6_Ctrl.CBF05_S5	99.53950354	0.27
Batch6_Ctrl.CBF06_S6	99.55072138	0.26
Batch6_Ctrl.CBF07_S7	99.15269284	0.26
Batch6_Ctrl.CBF08_S8	99.49992309	0.26
Batch6_Ctrl.CBF09_S9	99.51035568	0.26
Batch6_Ctrl.CBF10_S10	99.57429663	0.25
Batch6_Ctrl.CBF11_S11	99.30970481	0.25
Batch6_Ctrl.CBF12_S12	99.39246576	0.28
Batch6_Ctrl.CBF13_S13	99.49718082	0.27
Batch6_Ctrl.CBF14_S14	99.53971077	0.27
Batch6_Ctrl.CBF15_S15	99.46025579	0.26
Batch6_Ctrl.CBF16_S16	99.2910675	0.27
Batch6_Ctrl.CBF17_S17	99.18716322	0.27
Batch6_Ctrl.CBF18_S18	99.54100809	0.27
Batch6_Ctrl.CBF19_S19	99.57881219	0.27
Batch6_Ctrl.CBF20_S20	99.43244429	0.25
Batch6_Ctrl.CBF21_S21	99.55576088	0.25
Batch6_Ctrl.CBF22_S22	99.51419431	0.25
Batch6_Ctrl.CBF23_S23	99.53035683	0.25
Batch6_Ctrl.CBF24_S24	99.60874703	0.25
Batch6_Ctrl.CBF25_S1	99.51678397	0.29
Batch6_Ctrl.CBF27_S3	99.50004983	0.27
Batch6_Ctrl.CBF28_S4	99.44691362	0.28
Batch6_Ctrl.CBF30_S6	99.45209104	0.29
Batch6_Ctrl.CBF32_S8	99.42490745	0.29
Batch6_Ctrl.CBF33_S9	99.59426048	0.27
Batch6_Ctrl.CBF34_S10	99.49229676	0.27
Batch6_Ctrl.CBF35_S11	99.57595235	0.27
Batch6_Ctrl.CBF36_S12	99.19566526	0.34
Batch6_Ctrl.CBF37_S13	99.48813629	0.29
Batch6_Ctrl.CBF38_S20	99.51568377	0.27
Batch6_Ctrl.CBF39_S21	99.19864663	0.27
Batch6_Ctrl.CBF40_S16	99.21906715	0.3
Batch6_Ctrl.CBF42_S18	99.42918812	0.28
Batch6_Ctrl.CBF43_S19	99.51436207	0.28
Batch6_Ctrl.CBF44_S20	99.54592257	0.28
Batch6_Ctrl.CBF45_S21	99.3957838	0.27
Batch6_Ctrl.CBF46_S22	99.47146692	0.27
Batch6_Ctrl.CBF47_S23	99.58730979	0.28
Batch6_Ctrl.CBF48_S24	99.55422843	0.28
Batch6_Ctrl.CBF49_S1	99.60063762	0.26
Batch6_Ctrl.CBF50_S2	99.64870219	0.26
Batch6_Ctrl.CBF52_S4	99.59596302	0.25
Batch6_Ctrl.CBF53_S5	99.637843	0.24
Batch6_Ctrl.CBF54_S6	99.58288752	0.24
Batch6_Ctrl.CBF55_S7	99.43017894	0.25
Batch6_Ctrl.CBF56_S8	99.63363069	0.25
Batch6_Ctrl.CBF57_S9	99.60980339	0.25
Batch6_Ctrl.CBF58_S10	99.60633136	0.25
Batch6_Ctrl.CBF59_S11	99.56431896	0.25
Batch6_Ctrl.CBF60_S12	99.60642534	0.27
Batch6_Ctrl.CBF61_S13	99.6289689	0.25
Batch6_Ctrl.CBF62_S14	99.629414	0.25
Batch6_Ctrl.CBF63_S15	99.58909819	0.25
Batch6_Ctrl.CBF64_S16	99.28389412	0.25
Batch6_Ctrl.CBF65_S17	99.50488645	0.25
Batch6_Ctrl.CBF66_S18	99.45522421	0.26
Batch6_Ctrl.CBF67_S19	99.0914326	0.26
Batch6_Ctrl.CBF68_S20	99.55166463	0.26
Batch6_Ctrl.CBF70_S22	99.66446385	0.24
Batch6_Ctrl.CBF71_S23	99.43306116	0.25
Batch6_Ctrl.CBF72_S24	99.57133504	0.26
Batch6_Ctrl.CBF73_S1	99.54283711	0.26
Batch6_Ctrl.CBF74_S2	99.60760418	0.25
Batch6_Ctrl.CBF75_S3	99.59348682	0.26
Batch6_Ctrl.CBF76_S4	99.57170185	0.26
Batch6_Ctrl.CBF79_S7	99.47554551	0.25
Batch6_Ctrl.CBF80_S8	99.45483603	0.27
Batch6_Ctrl.CBF81_S9	99.44955843	0.26
Batch6_Ctrl.CBF82_S10	99.37910473	0.26
Batch6_Ctrl.CBF83_S11	99.56826963	0.26
Batch6_Ctrl.CBF84_S12	99.48249668	0.3
Batch6_Ctrl.CBF85_S13	99.35566725	0.27
Batch6_Ctrl.CBF87_S15	99.5691394	0.26
Batch6_Ctrl.CBF88_S16	99.65960844	0.26
Batch6_Ctrl.CBF89_S17	99.66555466	0.26
Batch6_Ctrl.CBF90_S18	99.41668544	0.26
Batch6_Ctrl.CBF94_S22	99.61658903	0.27
Batch6_Unctrl.CBF03_S3	99.53954429	0.25
Batch6_Unctrl.CBF26_S2	99.57792106	0.27
Batch6_Unctrl.CBF29_S5	99.47482966	0.29
Batch6_Unctrl.CBF31_S7	99.31169341	0.28
Batch6_Unctrl.CBF41_S17	99.53283471	0.27
Batch6_Unctrl.CBF51_S3	99.68730611	0.24
Batch6_Unctrl.CBF69_S21	99.67356423	0.25
Batch6_Unctrl.CBF77_S5	99.49879738	0.26
Batch6_Unctrl.CBF78_S6	99.11061555	0.26
Batch6_Unctrl.CBF86_S14	99.60032098	0.28
Batch6_Unctrl.CBF91_S19	99.37767222	0.27
